year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO
1980,Annual,25,Area,0,0.611076,0,0,0
1980,Annual,27,Area,0,2.60815,0,0,0
1980,Annual,29,Area,3.433339,0.677745,0,0,0
1980,Annual,31,Area,0,0.577146,0,0,0
1980,Annual,32,Area,0,0.396168,0,0,0
1980,Annual,35,Area,0.092084,0,0,0,0
1980,Annual,37,Area,0,0.048237,0,0,0
1980,Annual,39,Area,1.815059,0,0,0,0
1980,Annual,42,Area,0.664586,0,0,0,0
1980,Annual,46,Area,0,0.142167,0,0,0
1980,Annual,48,Area,0,0.076123,0,0,0
1980,Annual,49,Area,0,1.490744,0,0,0
1980,Annual,52,Area,0,0.099233,0,0,0
1980,Annual,61,Area,0,16.755348,0,0,0
1980,Annual,66,Area,0,4.313721,0,0,0
1980,Annual,67,Area,0,0.003863,0,0,0
1980,Annual,68,Area,0,0.89813,0,0,0
1980,Annual,69,Area,0,0.007726,0,0,0
1980,Annual,71,Area,0,0.036701,0,0,0
1980,Annual,72,Area,0,3.192731,0,0,0
1980,Annual,73,Area,0,0.007691,0,0,0
1980,Annual,75,Area,0,0.038632,0,0,0
1980,Annual,76,Area,0,8.9813,0,0,0
1980,Annual,77,Area,0,0.077265,0,0,0
1980,Annual,79,Area,0,0.410584,0,0,0
1980,Annual,80,Area,0,0.865576,0,0,0
1980,Annual,81,Area,0,0.705422,0,0,0
1980,Annual,82,Area,0,0.004835,0,0,0
1980,Annual,83,Area,0,0.109381,0,0,0
1980,Annual,84,Area,0,0.337703,0,0,0
1980,Annual,85,Area,0,0.546917,0,0,0
1980,Annual,86,Area,0,4.530274,0,0,0
1980,Annual,87,Area,0,0.225156,0,0,0
1980,Annual,88,Area,0,1.144749,0,0,0
1980,Annual,89,Area,0,0.146733,0,0,0
1980,Annual,90,Area,0,0.078339,0,0,0
1980,Annual,91,Area,0,0.135941,0,0,0
1980,Annual,92,Area,0,0.001192,0,0,0
1980,Annual,95,Area,0,2.328318,0,0,0
1980,Annual,96,Area,0,0.011687,0,0,0
1980,Annual,97,Area,0,1.142477,0,0,0
1980,Annual,105,Area,0,0.468246,0,0,0
1980,Annual,107,Area,0,0.08056,0,0,0
1980,Annual,112,Area,0,1.48866,0,0,0
1980,Annual,115,Area,0,0.176605,0,0,0
1980,Annual,116,Area,0,0.016309,0,0,0
1980,Annual,117,Area,0,9.002838,0,0,0
1980,Annual,118,Area,0,2.964349,0,0,0
1980,Annual,256,Area,0,1.580729,0,0,0
1980,Annual,257,Area,0,0.274788,0,0,0
1980,Annual,258,Area,0,0.078246,0,0,0
1980,Annual,259,Area,0,0.00491,0,0,0
1980,Annual,260,Area,0,0.403553,0,0,0
1980,Annual,261,Area,0,0.002094,0,0,0
1980,Annual,262,Area,0,1.734309,0,0,0
1980,Annual,263,Area,0,0.169833,0,0,0
1980,Annual,264,Area,0,0.140643,0,0,0
1980,Annual,265,Area,0,0.039943,0,0,0
1980,Annual,266,Area,0,1.265425,0,0,0
1980,Annual,267,Area,0,0.086101,0,0,0
1980,Annual,268,Area,0,0.294821,0,0,0
1980,Annual,269,Area,0,0.022839,0,0,0
1980,Annual,274,Area,0,1.218662,0,0,0
1980,Annual,275,Area,0,0.397593,0,0,0
1980,Annual,276,Area,0,0.363991,0,0,0
1980,Annual,277,Area,0,0.032447,0,0,0
1980,Annual,280,Area,0,0.714926,0,0,0
1980,Annual,281,Area,0,0.087335,0,0,0
1980,Annual,283,Area,0.614254,0.889052,7.85599,0.048494,3.232918
1980,Annual,284,Area,0.412575,0.597147,5.27661,0.032572,2.171445
1980,Annual,285,Area,0.04479,0.064828,0.57284,0.003536,0.235737
1980,Annual,286,Area,0.008485,0.02294,0.285966,0.016969,0.059707
1980,Annual,287,Area,0.012033,0.012033,0.086637,0.341735,0.024066
1980,Annual,288,Area,4.203664,6.135074,0.328214,0.050494,29.135288
1980,Annual,289,Area,13.391928,11.998547,1.00633,0.15482,97.768845
1980,Annual,304,Area,0.13,0.37,2.79,0.09,1
1980,Annual,314,Area,0.108148,0.087644,0.104931,0.03546,0.257303
1980,Annual,315,Area,0.037546,0.048784,0.002357,0,0.327635
1980,Annual,316,Area,0.079413,0.103183,0.013291,0,0.692981
1980,Annual,317,Area,0.032979,0.024376,0.004434,0,0.265362
1980,Annual,318,Area,0.002707,0.002707,0.000207,0,0.01502
1980,Annual,319,Area,0.384853,0.186285,0.09826,0,2.988752
1980,Annual,344,Area,0.00548,0,0.015344,0.099462,0.000959
1980,Annual,345,Area,0.026755,0.000936,0.074915,0.485607,0.004682
1980,Annual,346,Area,0.055363,0.018756,0.618614,0.352578,0.05685
1980,Annual,347,Area,0.236023,0.079958,2.637249,1.503095,0.242359
1980,Annual,348,Area,0.020512,0.028489,0.251843,0.019373,0.043303
1980,Annual,349,Area,0.023716,0.004743,0.035099,0.112255,0.006324
