year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO
1980,Annual,10,Point,1.011019,0.692709,0.278341,19.708176,0
1980,Annual,11,Point,0,7.82,0,0,0
1980,Annual,12,Point,0,0.081389,0,0,0
1980,Annual,13,Point,0,1.16,0,0,0
1980,Annual,14,Point,0,0.152661,0,0,0
1980,Annual,15,Point,0.08,14.200001,2.05,11.77,0.97
1980,Annual,16,Point,0.076929,0.356275,0.030822,0.019212,0.028734
1980,Annual,17,Point,0,37.871643,0,0,0
1980,Annual,18,Point,0,8.210169,0,0,0
1980,Annual,19,Point,0,1.546547,0,0,0
1980,Annual,20,Point,0,0.033522,0,0,0
1980,Annual,21,Point,0.003072,0.010973,0.02522,0.465693,0.018442
1980,Annual,22,Point,0.0811,0.000274,0,1.121568,0
1980,Annual,23,Point,0.033518,0.764773,0,0,0
1980,Annual,24,Point,0.001075,0.015465,0,0,0
1980,Annual,25,Point,0.001338,0.048738,0,0,0
1980,Annual,26,Point,0.533863,0.286022,0.874836,2.381689,14.113947
1980,Annual,28,Point,0.01088,0.668887,0,0,0
1980,Annual,31,Point,0.000009,0.002567,0,0,0
1980,Annual,32,Point,0.043039,0.020004,0,0,0
1980,Annual,33,Point,3.569672,0.185642,0.012959,0.008868,0.104523
1980,Annual,34,Point,3.66787,0.40584,0.035608,0.000239,0.008226
1980,Annual,35,Point,0.007497,0,0,0,0
1980,Annual,36,Point,0.762765,0.023687,0,0,0
1980,Annual,38,Point,2.535088,0.084749,0.021641,0.002496,0.062054
1980,Annual,39,Point,0.710491,0.00025,0,0,0
1980,Annual,40,Point,2.767855,0.044684,1.300144,1.043905,0.009354
1980,Annual,41,Point,5.634436,0,0,0.004983,0
1980,Annual,42,Point,0.063297,0,0,0,0
1980,Annual,43,Point,0.044891,3.000692,0,0,0
1980,Annual,44,Point,0,0.26117,0,0,0
1980,Annual,45,Point,0,0.602391,0,0,0
1980,Annual,46,Point,0.000304,0.003513,0,0,0
1980,Annual,47,Point,0.02397,0.397912,0,0,0
1980,Annual,48,Point,0,0.065725,0.003314,0,0
1980,Annual,49,Point,0,0.049522,0,0,0
1980,Annual,50,Point,0.006589,0.289747,0.000744,0,0
1980,Annual,53,Point,0.186742,0.044642,0,0.000012,0
1980,Annual,54,Point,2.090177,1.589127,0.081679,0.078196,0.251698
1980,Annual,55,Point,0,4.053654,0,0,0
1980,Annual,56,Point,0,4.009136,0,0,0
1980,Annual,57,Point,0,0.189271,0,0,0
1980,Annual,58,Point,0,0.799846,0,0,0
1980,Annual,60,Point,0.000052,1.211814,0,0,0
1980,Annual,62,Point,0.000691,0.715381,0,0,0
1980,Annual,63,Point,0,0.028432,0,0,0
1980,Annual,64,Point,0,4.897966,0,0,0
1980,Annual,67,Point,0,0.005762,0,0,0
1980,Annual,70,Point,0,0.080373,0,0,0
1980,Annual,78,Point,0,0.450633,0,0,0
1980,Annual,80,Point,0,0.00132,0,0,0
1980,Annual,84,Point,0,1.119958,0,0,0
1980,Annual,85,Point,0,0.461968,0,0,0
1980,Annual,92,Point,0,0.002094,0,0,0
1980,Annual,105,Point,0,4.67398,0,0,0
1980,Annual,106,Point,0,0.055457,0,0,0
1980,Annual,107,Point,0,0.796639,0,0,0
1980,Annual,108,Point,0,1.683179,0,0,0
1980,Annual,109,Point,0,0.727065,0,0,0
1980,Annual,110,Point,0,0.120589,0,0,0
1980,Annual,112,Point,0,1.821065,0,0,0
1980,Annual,115,Point,0,0.093419,0,0,0
1980,Annual,116,Point,0,0.278108,0,0,0
1980,Annual,117,Point,0.001336,0.134035,0,0,0
1980,Annual,252,Point,0,8.949896,0,0,0
1980,Annual,253,Point,0,1.499367,0,0,0
1980,Annual,256,Point,0,0.8252,0,0,0
1980,Annual,257,Point,0,0.140709,0,0,0
1980,Annual,258,Point,0,0.778788,0,0,0
1980,Annual,259,Point,0,0.039635,0,0,0
1980,Annual,260,Point,0,4.47582,0,0,0
1980,Annual,261,Point,0,0.020708,0,0,0
1980,Annual,262,Point,0,0.357231,0,0,0
1980,Annual,263,Point,0,0.010554,0,0,0
1980,Annual,264,Point,0,0.025539,0,0,0
1980,Annual,265,Point,0,0.014612,0,0,0
1980,Annual,266,Point,0,0.032081,0,0,0
1980,Annual,267,Point,0,0.00465,0,0,0
1980,Annual,268,Point,0,2.947619,0,0,0
1980,Annual,269,Point,0,0.228371,0,0,0
1980,Annual,270,Point,0,0.091883,0,0,0
1980,Annual,271,Point,0,0.005846,0,0,0
1980,Annual,272,Point,0,5.039739,0,0,0
1980,Annual,273,Point,0,1.907576,0,0,0
1980,Annual,274,Point,0,4.874199,0,0,0
1980,Annual,275,Point,0,1.590164,0,0,0
1980,Annual,276,Point,0,0.086803,0,0,0
1980,Annual,277,Point,0,0.007777,0,0,0
1980,Annual,278,Point,0,0.108315,0,0,0
1980,Annual,279,Point,0,0.052428,0,0,0
1980,Annual,280,Point,0,2.144567,0,0,0
1980,Annual,281,Point,0,0.261859,0,0,0
1980,Annual,282,Point,0.000366,2.130023,0,0,0
1980,Annual,290,Point,0.023841,0.023934,0.598575,0.02403,0.588176
1980,Annual,291,Point,0.500889,0.982931,9.696138,0.328893,2.557302
1980,Annual,292,Point,0.042697,0.285747,0.590487,0.049236,0.299847
1980,Annual,293,Point,0.73,0.43,34.839996,0.15,9.940001
1980,Annual,297,Point,0.029205,0.00354,0.176705,0.300192,0.01534
1980,Annual,298,Point,0.86,0.33,20.790001,1.20344,2.45
1980,Annual,299,Point,1.327219,0.497405,11.493364,1.638623,2.25416
1980,Annual,300,Point,0.002415,0.02173,0.668921,0.051474,0.108586
1980,Annual,301,Point,0.001413,0.01479,0.073071,0.713787,0.113585
1980,Annual,302,Point,0,0,0,0,0.000148
1980,Annual,303,Point,0.116838,3.244032,7.006532,0.063678,6.739674
1980,Annual,304,Point,0.05,0.05,0.55,0.04,0.14
1980,Annual,305,Point,0.11,0.08,1.93,0.06,1.03
1980,Annual,306,Point,0.054493,0.051986,0.056625,0.010592,0.10035
1980,Annual,307,Point,0.142921,0.193733,13.626347,0.024315,2.403839
1980,Annual,308,Point,0.000124,0.000136,0.006882,0.000208,0.000754
1980,Annual,309,Point,0.012902,0.005954,0.176608,0.109871,0.036995
1980,Annual,310,Point,0.00011,0.000018,0.001262,0.001289,0.000092
1980,Annual,311,Point,0.001376,0.024951,0.119946,0.057854,0.152136
1980,Annual,312,Point,0.040058,0.02099,0.324487,0.100655,0.186559
1980,Annual,314,Point,0.002029,0.018,0.124083,0.003502,0.000579
1980,Annual,796,Point,0,2.901951,0,0,0
1980,Annual,799,Point,0,0.00182,0,0,0
1980,Annual,800,Point,0,1.708282,0,0,0
1980,Annual,898,Point,0,23.520401,0,0,0
1980,Annual,937,Point,0.019774,8.488867,0,0,0
1980,Annual,938,Point,0,0.044735,0,0,0
1980,Annual,968,Point,0.002845,0.008758,3.91,0.001048,0.07
1980,Annual,1157,Point,3.344113,593.52478,0,0.000091,0
1980,Annual,1241,Point,0,3.046612,0.002296,0,0
1980,Annual,1243,Point,0,6.737604,0,0,0
1980,Annual,1245,Point,0,0.930841,0,0,0
1980,Annual,1595,Point,0,0,0.01,0,0
1981,Annual,10,Point,1.021125,0.699633,0.281123,19.905167,0
1981,Annual,11,Point,0,7.82,0,0,0
1981,Annual,12,Point,0,0.082265,0,0,0
1981,Annual,13,Point,0,1.19,0,0,0
1981,Annual,14,Point,0,0.010822,0,0,0
1981,Annual,15,Point,0.08,14.34,2.07,11.879999,0.98
1981,Annual,16,Point,0.078021,0.361334,0.03126,0.019484,0.029142
1981,Annual,17,Point,0,38.156403,0,0,0
1981,Annual,18,Point,0,8.297512,0,0,0
1981,Annual,19,Point,0,0.637287,0,0,0
1981,Annual,20,Point,0,0.001722,0,0,0
1981,Annual,21,Point,0.003374,0.01205,0.027695,0.511392,0.020252
1981,Annual,22,Point,0.089059,0.000301,0,1.231629,0
1981,Annual,23,Point,0.034838,0.794894,0,0,0
1981,Annual,24,Point,0.001075,0.015467,0,0,0
1981,Annual,25,Point,0.001414,0.051507,0,0,0
1981,Annual,26,Point,0.586252,0.31409,0.960686,2.615409,15.498976
1981,Annual,28,Point,0.011349,0.697776,0,0,0
1981,Annual,31,Point,0.00001,0.002613,0,0,0
1981,Annual,32,Point,0.043818,0.020366,0,0,0
1981,Annual,33,Point,3.505132,0.182286,0.012724,0.008708,0.102633
1981,Annual,34,Point,3.601461,0.398493,0.034964,0.000235,0.008077
